SOCIETATEA ROMANA DE,,,,
TELEVIZIUNE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"174,217"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,69
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"173,378"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,770
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","174,217"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,69
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"173,378"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,770
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
