CONSILIUL NATIONAL PENTRU,,,,
STUDIEREA ARHIVELOR SECURITATII,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"12,185"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,016"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,069"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,100
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"12,185"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"11,016"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,069"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,100
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
