SOCIETATEA ROMANA DE,,,,
RADIODIFUZIUNE,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"186,094"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"159,519"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"26,575"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","186,094"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"159,519"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"26,575"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
