MINISTERUL ECONOMIEI,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 5001  , , , CHELTUIELI - BUGET DE STAT  ,"1,164,991"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"94,526"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"39,451"
 , , 30  , TITLUL III DOBANZI  ,"6,625"
 , , 40  , TITLUL IV SUBVENTII  ,"256,686"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"4,900"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"204,780"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"472,877"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,270
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"10,500"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"18,552"
 , , 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"55,824"
 5101  , , , AUTORITATI PUBLICE SI ACTIUNI EXTERNE  ,"569,422"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"94,526"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"37,183"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"6,010"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"412,892"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,270
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"18,541"
 5401  , , , ALTE SERVICII PUBLICE GENERALE  ,11
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,11
 8001  , , ," ACTIUNI GENERALE ECONOMICE, COMERCIALE SI DE MUNCA  ","150,085"
 ,, 40  , TITLUL IV SUBVENTII  ,"62,115"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"3,900"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"73,570"
 ,, 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"10,500"
 8101  ,, , COMBUSTIBILI SI ENERGIE  ,"177,000"
 ,, 40  , TITLUL IV SUBVENTII  ,"163,000"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"14,000"
 8201  ,, ," INDUSTRIA EXTRACTIVA, PRELUCRATOARE SI CONSTRUCTII  ","132,520"
 ,, 30  , TITLUL III DOBANZI  ,"6,625"
 ,, 40  , TITLUL IV SUBVENTII  ,"31,571"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"38,500"
 ,, 81  , TITLUL XVI RAMBURSARI DE CREDITE  ,"55,824"
 8601  ,, , CERCETARE SI DEZVOLTARE IN DOMENIUL ECONOMIC  ,"72,700"
 ,, 55  , TITLUL VII ALTE TRANSFERURI  ,"72,700"
 8701  ,, , ALTE ACTIUNI ECONOMICE  ,"63,253"
 ,, 20  , TITLUL II BUNURI SI SERVICII  ,"2,268"
 ,, 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"1,000"
 ,, 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"59,985"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
