TOTAL,,,,
,,,,
,,,,
Bugetul pe anul 2013,,,,
,,,,- mii lei -
Capitol,,Titlu,Denumire indicator,Program 2013
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"1,647"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"287,322"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"300,780"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"447,267"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"50,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"101,204"
 6601  , , , SANATATE  ,"2,618,677"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"584,846"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"1,092,323"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"816,810"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"12,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"21,400"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"49,215"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"42,083"
 6701  , , ," CULTURA, RECREERE SI RELIGIE  ","1,752,385"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"39,795"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"378,605"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"619,388"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"68,700"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"13,236"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"520,376"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"110,000"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"2,285"
 6801  , , , ASIGURARI SI ASISTENTA SOCIALA  ,"18,187,585"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"216,070"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"178,967"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"3,498,989"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"4,672"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"325,646"
 , , 57  , TITLUL IX ASISTENTA SOCIALA  ,"13,849,273"
 , , 59  , TITLUL X ALTE CHELTUIELI  ,"31,130"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"78,726"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"3,762"
 , , 80  , TITLUL XV IMPRUMUTURI  ,350
 7001  , , ," LOCUINTE, SERVICII SI DEZVOLTARE PUBLICA  ","1,240,421"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"7,000"
 , , 40  , TITLUL IV SUBVENTII  ,"126,000"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"583,077"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"90,000"
 , , 56  , TITLUL VIII PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE  ,"200,000"
 , , 65  , TITLUL XI CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA  ,"108,735"
 , , 71  , TITLUL XII ACTIVE NEFINANCIARE  ,"125,609"
 7401  , , , PROTECTIA MEDIULUI  ,"1,656,572"
 , , 10  , TITLUL I CHELTUIELI DE PERSONAL  ,"130,910"
 , , 20  , TITLUL II BUNURI SI SERVICII  ,"38,206"
 , , 30  , TITLUL III DOBANZI  ,"10,300"
 , , 51  , TITLUL VI TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE  ,"36,610"
 , , 55  , TITLUL VII ALTE TRANSFERURI  ,"86,104"
