05,05,5001,Curtea constitutionala,TITLUL VII ALTE TRANSFERURI,"17"
05,05,5001,Curtea constitutionala,TITLUL IX ASISTENTA SOCIALA,"350"
05,05,5001,Curtea constitutionala,TITLUL XII ACTIVE NEFINANCIARE,"300"
05,05,5101,Curtea constitutionala,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,"14,910"
05,05,5101,Curtea constitutionala,TITLUL I CHELTUIELI DE PERSONAL,"11,886"
05,05,5101,Curtea constitutionala,TITLUL II BUNURI SI SERVICII,"2,707"
05,05,5101,Curtea constitutionala,TITLUL VII ALTE TRANSFERURI,"17"
05,05,5101,Curtea constitutionala,TITLUL XII ACTIVE NEFINANCIARE,"300"
05,05,6801,Curtea constitutionala,ASIGURARI SI ASISTENTA SOCIALA,"350"
05,05,6801,Curtea constitutionala,TITLUL IX ASISTENTA SOCIALA,"350"
06,0,5001,Consiliul legislativ,CHELTUIELI - BUGET DE STAT,"5,301"
06,06,5001,Consiliul legislativ,TITLUL I CHELTUIELI DE PERSONAL,"4,524"
06,06,5001,Consiliul legislativ,TITLUL II BUNURI SI SERVICII,"552"
06,06,5001,Consiliul legislativ,TITLUL VII ALTE TRANSFERURI,"7"
06,06,5001,Consiliul legislativ,TITLUL IX ASISTENTA SOCIALA,"23"
06,06,5001,Consiliul legislativ,TITLUL XII ACTIVE NEFINANCIARE,"195"
06,06,5101,Consiliul legislativ,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,"5,278"
06,06,5101,Consiliul legislativ,TITLUL I CHELTUIELI DE PERSONAL,"4,524"
06,06,5101,Consiliul legislativ,TITLUL II BUNURI SI SERVICII,"552"
06,06,5101,Consiliul legislativ,TITLUL VII ALTE TRANSFERURI,"7"
06,06,5101,Consiliul legislativ,TITLUL XII ACTIVE NEFINANCIARE,"195"
06,06,6801,Consiliul legislativ,ASIGURARI SI ASISTENTA SOCIALA,"23"
06,06,6801,Consiliul legislativ,TITLUL IX ASISTENTA SOCIALA,"23"
07,0,5001,Curtea de conturi,CHELTUIELI - BUGET DE STAT,"195,705"
07,07,5001,Curtea de conturi,TITLUL I CHELTUIELI DE PERSONAL,"160,165"
07,07,5001,Curtea de conturi,TITLUL II BUNURI SI SERVICII,"14,800"
07,07,5001,Curtea de conturi,TITLUL VII ALTE TRANSFERURI,"30"
