"Id","IdParinte","Sectiune","An","NumeInstitutie","DenumireIndicator","Suma"
"05","05","5101","2013","Curtea constitutionala","TITLUL II BUNURI SI SERVICII","2707"
"05","05","5101","2013","Curtea constitutionala","TITLUL VII ALTE TRANSFERURI","17"
"05","05","5101","2013","Curtea constitutionala","TITLUL XII ACTIVE NEFINANCIARE","300"
"05","05","6801","2013","Curtea constitutionala","ASIGURARI SI ASISTENTA SOCIALA","350"
"05","05","6801","2013","Curtea constitutionala","TITLUL IX ASISTENTA SOCIALA","350"
"06","0","5001","2013","Consiliul legislativ","CHELTUIELI - BUGET DE STAT","5301"
"06","06","5001","2013","Consiliul legislativ","TITLUL I CHELTUIELI DE PERSONAL","4524"
"06","06","5001","2013","Consiliul legislativ","TITLUL II BUNURI SI SERVICII","552"
"06","06","5001","2013","Consiliul legislativ","TITLUL VII ALTE TRANSFERURI","7"
"06","06","5001","2013","Consiliul legislativ","TITLUL IX ASISTENTA SOCIALA","23"
"06","06","5001","2013","Consiliul legislativ","TITLUL XII ACTIVE NEFINANCIARE","195"
"06","06","5101","2013","Consiliul legislativ","AUTORITATI PUBLICE SI ACTIUNI EXTERNE","5278"
"06","06","5101","2013","Consiliul legislativ","TITLUL I CHELTUIELI DE PERSONAL","4524"
"06","06","5101","2013","Consiliul legislativ","TITLUL II BUNURI SI SERVICII","552"
"06","06","5101","2013","Consiliul legislativ","TITLUL VII ALTE TRANSFERURI","7"
"06","06","5101","2013","Consiliul legislativ","TITLUL XII ACTIVE NEFINANCIARE","195"
"06","06","6801","2013","Consiliul legislativ","ASIGURARI SI ASISTENTA SOCIALA","23"
"06","06","6801","2013","Consiliul legislativ","TITLUL IX ASISTENTA SOCIALA","23"
"07","0","5001","2013","Curtea de conturi","CHELTUIELI - BUGET DE STAT","195705"
"07","07","5001","2013","Curtea de conturi","TITLUL I CHELTUIELI DE PERSONAL","160165"
"07","07","5001","2013","Curtea de conturi","TITLUL II BUNURI SI SERVICII","14800"
"07","07","5001","2013","Curtea de conturi","TITLUL VII ALTE TRANSFERURI","30"
