idinstitutie,idparinte,sectiune,an,numeinstitutie,denumireindicator,suma
4,4,610101,2013,Inalta Curte de Casatie si Justitie,CHELTUIELI CURENTE,60326
4,4,610110,2013,Inalta Curte de Casatie si Justitie,TITLUL I CHELTUIELI DE PERSONAL,54528
4,4,610120,2013,Inalta Curte de Casatie si Justitie,TITLUL II BUNURI SI SERVICII,5770
4,4,610155,2013,Inalta Curte de Casatie si Justitie,TITLUL VII ALTE TRANSFERURI,28
4,4,610170,2013,Inalta Curte de Casatie si Justitie,CHELTUIELI DE CAPITAL,500
4,4,610171,2013,Inalta Curte de Casatie si Justitie,TITLUL XII ACTIVE NEFINANCIARE,500
4,4,6801,2013,Inalta Curte de Casatie si Justitie,ASIGURARI SI ASISTENTA SOCIALA,184
4,4,680101,2013,Inalta Curte de Casatie si Justitie,CHELTUIELI CURENTE,184
4,4,680157,2013,Inalta Curte de Casatie si Justitie,TITLUL IX ASISTENTA SOCIALA,184
5,0,5001,2013,Curtea Constitutionala,CHELTUIELI - BUGET DE STAT,15260
5,5,500101,2013,Curtea Constitutionala,CHELTUIELI CURENTE,14960
5,5,500110,2013,Curtea Constitutionala,TITLUL I CHELTUIELI DE PERSONAL,11886
5,5,500120,2013,Curtea Constitutionala,TITLUL II BUNURI SI SERVICII,2707
5,5,500155,2013,Curtea Constitutionala,TITLUL VII ALTE TRANSFERURI,17
5,5,500157,2013,Curtea Constitutionala,TITLUL IX ASISTENTA SOCIALA,350
5,5,500170,2013,Curtea Constitutionala,CHELTUIELI DE CAPITAL,300
5,5,500171,2013,Curtea Constitutionala,TITLUL XII ACTIVE NEFINANCIARE,300
5,5,5101,2013,Curtea Constitutionala,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,14910
5,5,510101,2013,Curtea Constitutionala,CHELTUIELI CURENTE,14610
5,5,510110,2013,Curtea Constitutionala,TITLUL I CHELTUIELI DE PERSONAL,11886
